istaigos_kodas;ataskaitinio_laikotarpio_pradzia;ataskaitinio_laikotarpio_pabaiga;gydytojo_id;prisirasiusiu_gyventoju_sk;darbo_valandu_kiekis;iraso_sukurimo_data
179761936;2021-10-01;2021-12-31;33394;0;;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;23;0;;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;101879;0;;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;11177;0;;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;83380;0;;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;33133;0;3;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;59103;0;;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;95016;0;;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;16906;0;;2022-03-21 17:40:53
179761936;2021-10-01;2021-12-31;1974;0;;2022-03-21 17:40:53
